PRAÇA;PREÇO;VENCIMENTO;MOEDA;CULTURA;FATOR_VALORIZACAO
SELECIONE A PRAÇA DESEJADA;0;30/05/2025;Real;Soja;0
AGUA BOA-MT;101,54;30/05/2025;Real;Soja;0
RONDONOPOLIS-MT;106,38;30/05/2025;Real;Soja;0
CAMPO NOVO PARECIS-MT;99,61;30/05/2025;Real;Soja;0
SORRISO-MT;98,64;30/05/2025;Real;Soja;0
JUARA-MT;97,42;30/05/2025;Real;Soja;0
BRASNORTE-MT;97,52;30/05/2025;Real;Soja;0
SINOP-MT;97,62;30/05/2025;Real;Soja;0
QUERENCIA-MT;97,84;30/05/2025;Real;Soja;0
PRIMAVERA DO LESTE-MT;103,67;30/05/2025;Real;Soja;0
SELECIONE A PRAÇA DESEJADA;250;30/05/2025;Real;Milho;0
AGUA BOA-MT;101,54;30/05/2025;Real;Milho;0
RONDONOPOLIS-MT;106,38;30/05/2025;Real;Milho;0
CAMPO NOVO PARECIS-MT;99,61;30/05/2025;Real;Milho;0
SORRISO-MT;98,64;30/05/2025;Real;Milho;0
JUARA-MT;97,42;30/05/2025;Real;Milho;0
BRASNORTE-MT;97,52;30/05/2025;Real;Milho;0
SINOP-MT;97,62;30/05/2025;Real;Milho;0
QUERENCIA-MT;97,84;30/05/2025;Real;Milho;0
PRIMAVERA DO LESTE-MT;103,67;30/05/2025;Real;Milho;0
